username,map_label,project_code,sampleMedia ,combinedID,sampleID,internalSampleID,visitDate,dateAnalTPTN,TP,TN,dateAnalM3Ex,dateAnalM3ICP,m3.P,m3.Fe,m3.Al,SPSC,dateAnalWE,wEX.P,wEX.NH3,wEX.NOx,dateAnalpH,pH,dateAnalEC,EC,samp_type,locName,Location Sortable,specific_location,samp_type,notes,samp_notes,y,x
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210730_S00064,S00064,S00064,20210730,20210806,715,1486,20210809,20210825,16.3,106,207,13,,,,,,,,,sample ,Aurand Run connection to P1,Aurand Run connection to P1,Halfway between Aurand Run and Pool 1 ,sample ,Taken about 14 m from edge of aurand run ,,41.025833,-83.698611
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03060,S03060,S03060,20221025,20221214,324,"1,355",20221212,20230105,18.3,1076.9,24.2,44,20221222,0.2,0.659,1.184,20221214,7.3744,20221214,905,sample,Aurand Run downstream,Aurand Run downstream,3 m upstream of bridge,sample,,,41.02385167,-83.69827667
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00364,S00364,S00364,20220628,20220928,513,"3,811",20220922,20221002,21.9,1285.8,430.3,99,20220726,0.2,0.4,1,20221004,7.5584,20220712,1614,sample,Aurand Run downstream,Aurand Run downstream,,sample,,All rock and stone bottom but got some sediment at the edge. Not representative of the stream bottom. ,41.02394167,-83.698265
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03312,S03312,S03312,20230518,20230801,829,"2,215",20230602,20230619,33.1,473.3,985.9,106,20230713,0.2,0.4,8.106,20230605,7.356,20230620,84.8,sample,Aurand Run downstream,Aurand Run downstream,Under bridge ,sample,,,41.02392167,-83.69825667
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03313,S03313,S03313,20230518,20230801,770,"2,521",20230602,20230619,16.2,1607.5,67.5,81,20230713,1.057,1.076,5.203,20230605,7.356,20230620,65.6,sample,Aurand Run downstream,Aurand Run downstream,4 m north of stream,sample,,,41.02390333,-83.69818833
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210730_S00063,S00063,S00063,20210730,20210806,1306,2542,20210809,20210825,45.3,233,598,36,,,,,,,,,sample ,Wetland Pool 1,Wetland Pool 01,20 ft from west side of Pool 1 ,sample ,This was a sample for pool 1 as well but taken 20 ft from the pool. Soil appeared more dry ,,41.024167,-83.696945
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_D00015,D00015,A-20210527-21-01D,20210527,20210615,1233,1694,20210728,20210813,29.3,230,720,66.12022093,,,,,,,,,sample,Wetland Pool 1,Wetland Pool 01,Pool ,sample,Samples taken on west side of P-1. On the west side of the pool there was a dry island where the soil sample was taken. All around the island the soil was much more moist.,,41.0243,-83.6968
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210527_S00039,S00039,A-20210527-21-01S,20210527,20210615,1128,1871,20210728,20210813,23.7,198,640,60.65727927,,,,,,,,,sample,Wetland Pool 1,Wetland Pool 01,Soil near pool ,sample,"Sample was taken on the west side of P-1, directly east of the soil island, about 10 feet into the pool.",,41.0243,-83.6968
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00366,S00366,S00366,20220628,20220928,859,"2,382",20220922,20221002,13.5,674.8,258,54,20220726,1.538,1.136,1.806,20221004,7.2272,20220712,42.1,sample,Wetland Pool 1,Wetland Pool 01,About 4 m south of pool,sample,,Dry area,41.02389667,-83.69678167
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00365,S00365,S00365,20220628,20220928,469,359,20220922,20221002,7.8,64.3,163.7,15,20220726,0.2,0.423,6.125,20221004,7.0248,20220712,39.1,sample,Wetland Pool 1,Wetland Pool 01,SW cormner,sample,,,41.024005,-83.69676
